"ID","FULLNAME","EMAIL","BIRTHDATE_DAY","BIRTHDATE_MONTH","BIRTHDATE_YEAR","COUNTRY_NAME","COUNTRY_ABBREVIATION","DDD","MOBILE_DEVICE_OS","CURRENCY_ID","CURRENCY_NAME","AMOUNT","AVG_AMOUNT_MONTH","USE_ECOMMERCE","LAST_STOCK_BOUGHT_TAG","LAST_STOCK_BOUGHT_NAME","LAST_STOCK_BOUGHT_CATEGORY"
"0","SIBILLA LAURENA","sibilla-laurenamaureene@outlook.com.m","6","4","1980","MEXICO","MEX","+92","OTHER","US","DOLAR","580158","72874.08333333333","False","NKE","NIKE INC.","FITNESS"
"1","TRESSA PHILIS","tressa-philisfae@yahoo.com.b","23","7","2001","BRASIL","BRA","+55","OTHER","US","DOLAR","562685","64425.75","False","ADDDF","ADIDAS"","FITNESS"
"2","PEARLE MARYELLEN","pearle-maryellencarline@hotmail.com.u","8","5","1977","UNITED_STATES","USA","+91","IOS","US","DOLAR","680732","48292.666666666664","False","ADSG-U.TI","ADIDAS"","FITNESS"
"3","DONNA LORILYN","donna-lorilynjohna@inc.com.m","24","4","1980","MEXICO","MEX","+92","MOTOROLA","US","DOLAR","374285","59708.75","True","ADS.F","ADIDAS"","FITNESS"
"4","ANDEEE JANKA","andeee-jankadruci@outlook.com.a","6","3","1980","ARGENTINA","ARG","+90","OTHER","US","DOLAR","73128","33320.166666666664","True","DIS","THE WALT DISNEY COMPANY","FUN"
"5","GABBEY SARENA","gabbey-sarenaleanna@hotmail.com.m","10","5","1978","MEXICO","MEX","+92","SANSUNG","US","DOLAR","672348","64964.5","True","ADS.F","ADIDAS"","FITNESS"
"6","ALLEGRA RODI","allegra-rodiardelle@hotmail.com.a","21","4","1994","ARGENTINA","ARG","+90","IOS","US","DOLAR","504322","68722.66666666667","False","ADS.F","ADIDAS"","FITNESS"
"7","CASSANDRA KATRINE","cassandra-katrinephil@yahoo.com.b","8","1","2001","BRASIL","BRA","+55","OTHER","US","DOLAR","595549","61769.5","False","SBUX","STARBUCKS CORPORATION","COFFEE"
"8","TIMOTHEA ERNESTINE","timothea-ernestineclaretta@gmail.com.b","2","1","1993","BRASIL","BRA","+55","SANSUNG","US","DOLAR","701761","42886.5","False","APPL","APPLE INC.","TECHNOLOGY"
"9","MELODIE LORI","melodie-loriphaedra@gmail.com.m","24","1","1999","MEXICO","MEX","+92","OTHER","US","DOLAR","964312","24298.333333333332","True","SBUX","STARBUCKS CORPORATION","COFFEE"
"10","DAYNA CHIQUITA","dayna-chiquitamargret@gmail.com.u","5","5","1987","UNITED_STATES","USA","+91","XIAOMI","US","DOLAR","103007","40068.666666666664","True","ADS.F","ADIDAS"","FITNESS"
"11","ANTHIA TOMA","anthia-tomavivie@gmail.com.m","3","12","1990","MEXICO","MEX","+92","OTHER","US","DOLAR","486610","42887.666666666664","True","SBUX","STARBUCKS CORPORATION","COFFEE"
"12","GILL REBA","gill-rebaevelyn@hotmail.com.u","23","7","1978","UNITED_STATES","USA","+91","XIAOMI","US","DOLAR","797877","46130.833333333336","False","SBUX","STARBUCKS CORPORATION","COFFEE"
"13","ARIEL GISELA","ariel-giselaavivah@hotmail.com.b","12","12","1975","BRASIL","BRA","+55","SANSUNG","US","DOLAR","15613","38255.0","False","ADDYY","ADIDAS"","FITNESS"
